# Train        Test        
    0.005773     0.001309 
    0.002428     0.008510 
    0.005378     0.000462 
    0.003324     0.000000 
    0.030951     0.079748 
    0.065854     0.082859 
    0.078753     0.063707 
    0.089546     0.120957 
    0.105051     0.128696 
    0.116135     0.109645 
    0.119566     0.122041 
    0.122427     0.135716 
    0.124535     0.136332 
    0.119961     0.119852 
    0.105333     0.114238 
    0.116796     0.120618 
    0.107206     0.099446 
    0.106003     0.108926 
    0.112631     0.133010 
    0.064366     0.038306 
    0.122642     0.144776 
    0.113527     0.160033 
    0.101541     0.120305 
    0.113668     0.128870 
    0.126735     0.156467 
    0.171303     0.177537 
    0.185159     0.164540 
    0.174258     0.208290 
    0.201937     0.207812 
    0.213746     0.243448 
    0.226818     0.244543 
    0.238414     0.248454 
    0.239408     0.244377 
    0.241694     0.251196 
    0.245768     0.251210 
    0.224481     0.224819 
    0.228233     0.248956 
    0.232803     0.225463 
    0.203881     0.206875 
    0.203865     0.206136 
    0.203099     0.208772 
    0.216423     0.224983 
    0.196582     0.218743 
    0.208235     0.221552 
    0.217620     0.210623 
    0.234099     0.231665 
    0.231947     0.231574 
    0.243726     0.266753 
    0.253755     0.270069 
    0.263503     0.266029 
    0.281104     0.288152 
    0.287222     0.310446 
    0.297005     0.286370 
    0.303446     0.284156 
    0.282957     0.283766 
    0.299678     0.289649 
    0.288061     0.293658 
    0.297432     0.282202 
    0.280467     0.284888 
    0.271685     0.268376 
    0.256728     0.267943 
    0.243467     0.246487 
    0.241229     0.245404 
    0.267162     0.248047 
    0.248781     0.259370 
    0.253369     0.240897 
    0.253405     0.255444 
    0.262479     0.269675 
    0.259101     0.260105 
    0.276185     0.265642 
    0.289815     0.308300 
    0.294049     0.315222 
    0.315397     0.307804 
    0.325139     0.317196 
    0.338669     0.317753 
